year,force,breath_tests,acc_all,acc_ksi,acc_speeding,acc_drink,acc_phone,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera,officers,roads_officers,million_km
2014,Norfolk/Suffolk,35330,3643,568,181,113,22,27871,1934,8191,77977,78068,2716,135,14182
2014,North Yorkshire,13168,2036,429,76,67,12,6697,761,1923,42044,42044,1393,96,9272
2014,Northamptonshire,6317,1301,287,53,35,7,4790,654,294,34911,34911,1220,19,8453
2014,Northumbria,9057,3198,407,76,97,5,3832,788,358,62410,64387,3476,144,9883
2014,Nottinghamshire,13570,2880,407,114,113,11,11925,3655,3775,29173,31347,2043,36,8640
2014,South Yorkshire,11512,3168,418,138,101,9,9884,1661,1477,38728,40635,2530,89,19854
2014,Staffordshire,10675,2799,206,181,130,13,4931,1475,988,50381,50983,1740,47,10708
2014,Surrey,9861,3962,679,146,102,7,12976,2551,1735,48107,50712,1904,106,13833
2014,Sussex,22000,4297,931,47,174,9,13603,1782,4168,45397,48708,2861,160,12642
2014,Thames Valley,32931,5429,912,218,211,44,38650,9339,15562,117291,118252,4213,198,24656
2014,Warwickshire,3869,1653,284,94,84,7,3763,703,952,31193,31490,817,38,9019
2014,West Mercia,19154,2327,373,84,125,9,10248,2428,2830,84978,85306,2010,80,12753
2014,West Midlands,14442,5603,875,372,215,21,11026,2115,2610,40923,40952,7188,209,32967
2014,West Yorkshire,12746,5043,846,133,160,3,21152,2754,3335,74268,75400,4689,139,31444
2014,Wiltshire,7611,1574,270,74,77,5,5907,794,2084,0,0,1019,36,7623
2015,Avon and Somerset,6466,3000,446,125,95,6,7202,798,1549,111619,112524,2679,84,16236
2015,Bedfordshire,4554,1478,229,68,60,2,4566,842,1378,38031,38127,1314,47,5371
2015,Cambridgeshire,10881,1968,326,67,75,11,12830,2320,3576,35664,35826,1323,72,9503
2015,Cheshire,13086,2322,441,70,81,3,14003,2142,3913,41665,45671,1953,106,12204
2015,City of London,899,344,42,1,3,1,2323,298,774,3952,3952,700,8,160
2015,Cleveland,3610,941,195,50,37,1,2487,362,429,10154,10154,1292,35,4214
2015,Cumbria,7297,1293,204,33,39,4,2963,637,622,35843,35843,1112,73,5678
2015,Derbyshire,6750,2147,358,94,81,3,4221,839,921,9420,9420,1827,68,9495
2015,Devon and Cornwall,14319,3856,605,243,208,18,5452,1218,1333,23315,23975,2951,74,14927
2015,Dorset,6043,1777,344,67,61,10,8205,904,4767,18256,18635,1199,55,5577
2015,Durham,5382,1073,223,76,49,1,2362,462,786,5897,5897,1151,70,4831
2015,Essex,10153,3746,714,126,155,9,25237,5455,5604,71684,74399,2865,110,16895
2015,Gloucestershire,6675,815,216,32,34,3,3225,879,1125,15017,15023,1060,43,6550
2015,Greater Manchester,8118,3073,605,135,114,10,13163,3052,743,94351,109189,6290,192,35863
2015,Hampshire,26314,4365,990,105,142,20,25048,5161,9872,72987,73023,2896,155,18360
2015,Hertfordshire,5333,2510,361,136,73,20,10166,1905,1714,66059,67354,1925,95,12226
2015,Humberside,7286,2394,387,71,83,9,10061,1117,2883,48390,48393,1591,79,7306
2015,Kent,9276,4878,637,205,239,24,5600,689,1070,18696,18696,3270,107,16311
2015,Lancashire,18331,3711,758,146,153,19,7282,959,897,64211,64211,2810,134,12638
2015,Leicestershire,4383,2249,341,160,87,7,4919,650,836,31695,39033,1919,53,9623
2015,Lincolnshire,10693,2134,279,109,115,14,5343,1103,1882,42881,42881,1035,4,6103
2015,Merseyside,21691,2706,554,122,79,2,21283,2798,5063,47699,53223,3713,136,15660
2015,Metropolitan,52269,24888,1973,603,337,56,87198,17120,11607,56315,89615,32057,727,29072
2015,Norfolk/Suffolk,25625,3235,526,145,121,11,21210,3046,5400,62329,62365,2573,78,14519
2015,North Yorkshire,11987,2062,433,96,90,6,6410,792,2254,27249,27249,1323,92,9434
2015,Northamptonshire,7363,1323,292,67,53,6,4264,345,208,47798,47798,1209,19,8641
2015,Northumbria,9690,3229,424,93,115,7,2936,275,548,58157,60476,3276,141,9953
2015,Nottinghamshire,10028,2750,416,121,101,8,12730,3107,5135,29169,30819,1961,25,8827
2015,South Yorkshire,8924,3066,359,140,118,7,8988,1416,1144,43901,46704,2478,91,20250
2015,Staffordshire,10883,2599,271,100,87,11,5441,1492,1109,39858,40418,1621,45,10847
2015,Surrey,8132,3858,638,100,115,8,11697,1690,1762,68005,71427,1944,109,14142
2015,Sussex,17000,4302,870,59,189,12,12362,1569,3423,51007,53472,2757,140,12882
2015,Thames Valley,32064,5190,894,227,215,37,37597,10003,14054,124552,125789,4106,181,25341
2015,Warwickshire,5351,1504,280,79,86,7,3583,675,761,39309,39664,822,37,9301
2015,West Mercia,19941,2297,431,123,119,12,8731,2127,2419,78456,78699,2014,76,12948
2015,West Midlands,10344,6096,894,404,216,14,12909,2557,3128,35692,35692,6640,197,33042
2015,West Yorkshire,13675,5286,825,126,151,2,19804,2752,3024,107542,109270,4574,144,32039
2015,Wiltshire,5920,1584,274,70,87,8,3944,453,1261,0,0,1020,35,7737
2016,Avon and Somerset,6431,3044,391,142,93,7,7641,831,1177,152585,157884,2600,87,16780
2016,Bedfordshire,3467,1527,254,91,62,8,3641,533,527,54695,54968,1289,50,5498
2016,Cambridgeshire,11096,2181,382,78,68,11,9202,931,1931,30932,31332,1350,73,9781
2016,Cheshire,12008,2370,412,75,73,4,13304,2589,3481,47603,48774,2026,102,12413
2016,City of London,801,368,50,4,4,1,2905,779,662,2806,2806,735,27,154
2016,Cleveland,4482,777,148,42,24,2,2461,349,298,12846,12846,1274,33,4300
2016,Cumbria,5745,1281,270,58,53,7,2666,624,513,41930,41930,1100,72,5839
2016,Derbyshire,5706,1915,338,76,72,6,2659,392,430,8521,8521,1689,67,9754
2016,Devon and Cornwall,13014,3586,743,208,204,8,5012,1004,1284,39858,40263,2944,65,15365
2016,Dorset,4909,1571,338,64,63,5,5651,696,2809,18751,19263,1199,39,5707
2016,Durham,6502,1013,202,33,33,0,1900,357,573,6661,6661,1159,70,4858
2016,Essex,8479,3694,918,38,57,0,23001,4932,6525,88668,92816,2872,120,17384
2016,Gloucestershire,5994,846,242,27,45,3,1991,555,475,19216,19216,1060,38,6615
2016,Greater Manchester,7766,2907,615,109,75,7,9688,2471,416,85785,95124,6296,148,36273
2016,Hampshire,22305,4376,990,87,169,8,19213,3709,7317,68317,68329,2875,148,18785
2016,Hertfordshire,4597,2642,432,155,91,20,9234,1250,1391,54818,56286,1943,94,12489
2016,Humberside,5609,2389,454,46,84,7,9649,1095,2397,50101,50121,1734,57,7457
2016,Kent,9527,5047,878,187,201,11,6893,745,1158,15916,15916,3271,94,16666
2016,Lancashire,17974,3675,753,112,129,12,8024,1039,862,58754,58756,2905,124,12731
2016,Leicestershire,4181,2174,305,187,108,15,4033,541,552,34428,41857,1837,44,9890
2016,Lincolnshire,8403,1988,380,95,89,12,4427,695,1295,48066,48066,1072,3,6239
2016,Merseyside,17536,2494,556,106,97,1,20646,2297,7071,52152,55625,3553,132,15952
2016,Metropolitan,40373,24789,2355,694,382,80,103845,22079,15243,62831,76852,30509,689,29537
2016,Norfolk/Suffolk,22429,3453,641,132,107,20,20111,3440,5659,71890,71902,2571,81,14874
2016,North Yorkshire,11270,2043,434,66,75,13,4882,563,845,28851,28851,1366,64,9634
2016,Northamptonshire,6060,1204,268,66,29,3,5022,390,232,44007,44007,1237,60,8799
2016,Northumbria,8129,2802,502,79,72,4,3612,546,816,52581,54886,3236,132,10187
2016,Nottinghamshire,8380,2584,429,123,102,13,4581,712,514,24874,26684,1806,23,8937
2016,South Yorkshire,7875,3053,549,135,120,6,7085,915,704,39217,42330,2390,93,20677
2016,Staffordshire,10316,2582,324,73,54,10,6127,1657,1093,27949,28410,1549,51,11057
2016,Surrey,8042,3742,526,114,174,16,7532,1409,899,44939,47912,1925,94,14319
2016,Sussex,18600,4143,928,65,197,18,8872,1038,2175,58309,60683,2616,116,13247
2016,Thames Valley,25440,4871,913,239,212,50,31818,7629,11843,119817,121687,4073,197,25942
2016,Warwickshire,4983,1455,340,92,82,16,3357,646,695,41402,41449,907,36,9488
2016,West Mercia,18421,2300,497,140,99,11,7429,2332,1700,73298,73363,1999,79,13217
2016,West Midlands,11191,5905,1004,361,171,15,11338,2176,2069,40014,40014,6578,189,33868
2016,West Yorkshire,12281,4969,793,148,141,5,21383,3562,4361,99840,103607,4845,160,33094
2016,Wiltshire,7123,1593,287,64,84,6,4246,407,974,0,2,978,33,7903
