LAD16CD,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
E06000039,Slough,E22000310,Slough,E23000029,Thames Valley,274
W06000014,Vale of Glamorgan,W14000014,Vale of Glamorgan,W15000003,South Wales,275
E07000205,Suffolk Coastal,E22000274,Suffolk Coastal,E23000025,Suffolk,276
E07000070,Chelmsford,E22000083,Chelmsford,E23000028,Essex,277
E08000025,Birmingham,E22000335,Birmingham,E23000014,West Midlands,278
E07000130,Charnwood,E22000165,Charnwood,E23000021,Leicestershire,279
E06000040,Windsor and Maidenhead,E22000316,Windsor and Maidenhead,E23000029,Thames Valley,280
W06000015,Cardiff,W14000015,Cardiff,W15000003,South Wales,281
E07000206,Waveney,E22000278,Waveney,E23000025,Suffolk,282
E08000026,Coventry,E22000336,Coventry,E23000014,West Midlands,283
E06000041,Wokingham,E22000317,Wokingham,E23000029,Thames Valley,284
E07000131,Harborough,E22000166,Harborough,E23000021,Leicestershire,285
E07000071,Colchester,E22000084,Colchester,E23000028,Essex,286
E07000207,Elmbridge,E22000279,Elmbridge,E23000031,Surrey,287
W06000016,Rhondda Cynon Taf,W14000016,Rhondda Cynon Taf,W15000003,South Wales,288
E08000027,Dudley,E22000337,Dudley,E23000014,West Midlands,289
E06000042,Milton Keynes,E22000307,Milton Keynes,E23000029,Thames Valley,290
E07000132,Hinckley and Bosworth,E22000167,Hinckley and Bosworth,E23000021,Leicestershire,291
E07000072,Epping Forest,E22000085,Epping Forest,E23000028,Essex,292
E07000208,Epsom and Ewell,E22000280,Epsom and Ewell,E23000031,Surrey,293
E06000043,Brighton and Hove,E22000292,Brighton and Hove,E23000033,Sussex,294
E07000133,Melton,E22000169,Melton,E23000021,Leicestershire,295
E08000028,Sandwell,E22000338,Sandwell,E23000014,West Midlands,296
W06000018,Caerphilly,W14000018,Caerphilly,W15000002,Gwent,297
E07000073,Harlow,E22000086,Harlow,E23000028,Essex,298
E07000209,Guildford,E22000281,Guildford,E23000031,Surrey,299
E06000044,Portsmouth,E22000118,Portsmouth,E23000030,Hampshire,300
E07000134,North West Leicestershire,E22000170,North West Leicestershire,E23000021,Leicestershire,301
E08000029,Solihull,E22000339,Solihull,E23000014,West Midlands,302
E07000135,Oadby and Wigston,E22000171,Oadby and Wigston,E23000021,Leicestershire,303
E07000210,Mole Valley,E22000282,Mole Valley,E23000031,Surrey,304
E06000045,Southampton,E22000120,Southampton,E23000030,Hampshire,305
E07000074,Maldon,E22000087,Maldon,E23000028,Essex,306
E07000211,Reigate and Banstead,E22000283,Reigate and Banstead,E23000031,Surrey,307
W06000019,Blaenau Gwent,W14000019,Blaenau Gwent,W15000002,Gwent,308
E06000046,Isle of Wight,E22000116,Isle of Wight,E23000030,Hampshire,309
E07000136,Boston,E22000173,Boston,E23000020,Lincolnshire,310
E08000030,Walsall,E22000340,Walsall,E23000014,West Midlands,311
E07000075,Rochford,E22000088,Rochford,E23000028,Essex,312
E07000212,Runnymede,E22000284,Runnymede,E23000031,Surrey,313
E07000076,Tendring,E22000090,Tendring,E23000028,Essex,314
E07000137,East Lindsey,E22000174,East Lindsey,E23000020,Lincolnshire,315
E06000047,County Durham,E22000365,County Durham,E23000008,Durham,316
E08000031,Wolverhampton,E22000341,Wolverhampton,E23000014,West Midlands,317
W06000020,Torfaen,W14000020,Torfaen,W15000002,Gwent,318
E07000077,Uttlesford,E22000092,Uttlesford,E23000028,Essex,319
E06000057,Northumberland,E22000358,Northumberland,E23000007,Northumbria,320
E08000032,Bradford,E22000342,Bradford,E23000010,West Yorkshire,321
E07000138,Lincoln,E22000175,Lincoln,E23000020,Lincolnshire,322
W06000021,Monmouthshire,W14000021,Monmouthshire,W15000002,Gwent,323
E07000078,Cheltenham,E22000093,Cheltenham,E23000037,Gloucestershire,324
E06000049,Cheshire East,E22000354,Cheshire East,E23000006,Cheshire,325
E08000033,Calderdale,E22000343,Calderdale,E23000010,West Yorkshire,326
E07000139,North Kesteven,E22000176,North Kesteven,E23000020,Lincolnshire,327
E07000079,Cotswold,E22000094,Cotswold,E23000037,Gloucestershire,328
E06000050,Cheshire West and Chester,E22000355,Cheshire West and Chester,E23000006,Cheshire,329
E07000140,South Holland,E22000177,South Holland,E23000020,Lincolnshire,330
W06000022,Newport,W14000022,Newport,W15000002,Gwent,331
E07000080,Forest of Dean,E22000095,Forest of Dean,E23000037,Gloucestershire,332
E06000051,Shropshire,E22000360,Shropshire,E23000016,West Mercia,333
