Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2009,England,London,Metropolitan Police,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,3429,3429
2009,England,London,Metropolitan Police,13,Vehicle test offences,Vehicle test and condition offences,,1825,1825
2009,England,London,Metropolitan Police,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,942,732,1674
2009,England,London,Metropolitan Police,16,Speed limit offences,Speed limit offences,44197,,44197
2009,England,London,Metropolitan Police,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,42,134,176
2009,England,London,Metropolitan Police,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,14799,7402,22201
2009,England,London,Metropolitan Police,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,281,153,434
2009,England,London,Metropolitan Police,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,11578,11582
2009,England,London,Metropolitan Police,21,Lighting offences,Lighting and noise offences,,3071,3071
2009,England,London,Metropolitan Police,22,Noise offences,Lighting and noise offences,,91,91
2009,England,London,Metropolitan Police,23,Load offences,Other offences,15,170,185
2009,England,London,Metropolitan Police,24,Offences peculiar to motor cycles,Other offences,2,290,292
2009,England,London,Metropolitan Police,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,81,81
2009,England,London,Metropolitan Police,25b,Seat belt offences,Miscellaneous motoring offences,,16594,16594
2009,England,East of England,Norfolk,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,64,13,77
2009,England,East of England,Norfolk,4b,Use of hand-held mobile phone while driving,Careless driving,2350,,2350
2009,England,East of England,Norfolk,7,Driving licence related offences,"Licence, insurance and record keeping offences",111,0,111
2009,England,East of England,Norfolk,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",523,,523
2009,England,East of England,Norfolk,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,574,574
2009,England,East of England,Norfolk,13,Vehicle test offences,Vehicle test and condition offences,,1026,1026
2009,England,East of England,Norfolk,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,67,43,110
2009,England,East of England,Norfolk,16,Speed limit offences,Speed limit offences,16692,,16692
2009,England,East of England,Norfolk,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2009,England,East of England,Norfolk,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,333,692,1025
2009,England,East of England,Norfolk,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,48,28,76
2009,England,East of England,Norfolk,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,6736,6737
2009,England,East of England,Norfolk,21,Lighting offences,Lighting and noise offences,,200,200
2009,England,East of England,Norfolk,22,Noise offences,Lighting and noise offences,,32,32
2009,England,East of England,Norfolk,23,Load offences,Other offences,14,16,30
2009,England,East of England,Norfolk,24,Offences peculiar to motor cycles,Other offences,3,27,30
2009,England,East of England,Norfolk,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,11,11
2009,England,East of England,Norfolk,25b,Seat belt offences,Miscellaneous motoring offences,,3048,3048
2009,England,East Midlands,Northamptonshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,5,5,10
2009,England,East Midlands,Northamptonshire,4b,Use of hand-held mobile phone while driving,Careless driving,1543,,1543
2009,England,East Midlands,Northamptonshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",71,0,71
2009,England,East Midlands,Northamptonshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",336,,336
2009,England,East Midlands,Northamptonshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,280,280
2009,England,East Midlands,Northamptonshire,13,Vehicle test offences,Vehicle test and condition offences,,376,376
2009,England,East Midlands,Northamptonshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,53,47,100
2009,England,East Midlands,Northamptonshire,16,Speed limit offences,Speed limit offences,11585,,11585
2009,England,East Midlands,Northamptonshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,8,2,10
2009,England,East Midlands,Northamptonshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2117,472,2589
2009,England,East Midlands,Northamptonshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,40,0,40
2009,England,East Midlands,Northamptonshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,2402,2403
2009,England,East Midlands,Northamptonshire,21,Lighting offences,Lighting and noise offences,,88,88
2009,England,East Midlands,Northamptonshire,22,Noise offences,Lighting and noise offences,,2,2
2009,England,East Midlands,Northamptonshire,23,Load offences,Other offences,0,7,7
2009,England,East Midlands,Northamptonshire,24,Offences peculiar to motor cycles,Other offences,0,13,13
2009,England,East Midlands,Northamptonshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,9,9
2009,England,East Midlands,Northamptonshire,25b,Seat belt offences,Miscellaneous motoring offences,,1629,1629
2009,England,North East,Northumbria,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,129,20,149
2009,England,North East,Northumbria,4b,Use of hand-held mobile phone while driving,Careless driving,2280,,2280
2009,England,North East,Northumbria,7,Driving licence related offences,"Licence, insurance and record keeping offences",64,0,64
2009,England,North East,Northumbria,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",64,,64
2009,England,North East,Northumbria,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,840,840
2009,England,North East,Northumbria,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2009,England,North East,Northumbria,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,269,121,390
2009,England,North East,Northumbria,16,Speed limit offences,Speed limit offences,22345,,22345
2009,England,North East,Northumbria,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,7,2,9
2009,England,North East,Northumbria,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2070,629,2699
2009,England,North East,Northumbria,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,186,22,208
2009,England,North East,Northumbria,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",19,6657,6676
2009,England,North East,Northumbria,21,Lighting offences,Lighting and noise offences,,209,209
2009,England,North East,Northumbria,22,Noise offences,Lighting and noise offences,,66,66
2009,England,North East,Northumbria,23,Load offences,Other offences,0,6,6
2009,England,North East,Northumbria,24,Offences peculiar to motor cycles,Other offences,0,19,19
2009,England,North East,Northumbria,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2009,England,North East,Northumbria,25b,Seat belt offences,Miscellaneous motoring offences,,1895,1895
2009,England,Yorkshire & The Humber,North Yorkshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,42,16,58
2009,England,Yorkshire & The Humber,North Yorkshire,4b,Use of hand-held mobile phone while driving,Careless driving,2273,,2273
2009,England,Yorkshire & The Humber,North Yorkshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",112,0,112
2009,England,Yorkshire & The Humber,North Yorkshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",285,,285
2009,England,Yorkshire & The Humber,North Yorkshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1457,1457
2009,England,Yorkshire & The Humber,North Yorkshire,13,Vehicle test offences,Vehicle test and condition offences,,442,442
2009,England,Yorkshire & The Humber,North Yorkshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,179,707,886
2009,England,Yorkshire & The Humber,North Yorkshire,16,Speed limit offences,Speed limit offences,8425,,8425
2009,England,Yorkshire & The Humber,North Yorkshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,9,1,10
2009,England,Yorkshire & The Humber,North Yorkshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,608,554,1162
2009,England,Yorkshire & The Humber,North Yorkshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,72,22,94
2009,England,Yorkshire & The Humber,North Yorkshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,2647,2647
2009,England,Yorkshire & The Humber,North Yorkshire,21,Lighting offences,Lighting and noise offences,,493,493
2009,England,Yorkshire & The Humber,North Yorkshire,22,Noise offences,Lighting and noise offences,,170,170
2009,England,Yorkshire & The Humber,North Yorkshire,23,Load offences,Other offences,77,185,262
2009,England,Yorkshire & The Humber,North Yorkshire,24,Offences peculiar to motor cycles,Other offences,0,14,14
2009,England,Yorkshire & The Humber,North Yorkshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,4,4
2009,England,Yorkshire & The Humber,North Yorkshire,25b,Seat belt offences,Miscellaneous motoring offences,,4309,4309
2009,England,East Midlands,Nottinghamshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,53,8,61
2009,England,East Midlands,Nottinghamshire,4b,Use of hand-held mobile phone while driving,Careless driving,2178,,2178
2009,England,East Midlands,Nottinghamshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",104,0,104
2009,England,East Midlands,Nottinghamshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",146,,146
2009,England,East Midlands,Nottinghamshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,720,720
2009,England,East Midlands,Nottinghamshire,13,Vehicle test offences,Vehicle test and condition offences,,428,428
2009,England,East Midlands,Nottinghamshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,68,858,926
2009,England,East Midlands,Nottinghamshire,16,Speed limit offences,Speed limit offences,30906,,30906
2009,England,East Midlands,Nottinghamshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,17,2,19
2009,England,East Midlands,Nottinghamshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,8315,1136,9451
2009,England,East Midlands,Nottinghamshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,57,37,94
2009,England,East Midlands,Nottinghamshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,491,492
2009,England,East Midlands,Nottinghamshire,21,Lighting offences,Lighting and noise offences,,315,315
2009,England,East Midlands,Nottinghamshire,22,Noise offences,Lighting and noise offences,,17,17
2009,England,East Midlands,Nottinghamshire,23,Load offences,Other offences,10,68,78
2009,England,East Midlands,Nottinghamshire,24,Offences peculiar to motor cycles,Other offences,0,13,13
2009,England,East Midlands,Nottinghamshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,59,59
2009,England,East Midlands,Nottinghamshire,25b,Seat belt offences,Miscellaneous motoring offences,,2642,2642
2009,England,Yorkshire & The Humber,South Yorkshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,57,22,79
2009,England,Yorkshire & The Humber,South Yorkshire,4b,Use of hand-held mobile phone while driving,Careless driving,3403,,3403
2009,England,Yorkshire & The Humber,South Yorkshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",253,0,253
2009,England,Yorkshire & The Humber,South Yorkshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",676,,676
2009,England,Yorkshire & The Humber,South Yorkshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1706,1706
2009,England,Yorkshire & The Humber,South Yorkshire,13,Vehicle test offences,Vehicle test and condition offences,,1848,1848
2009,England,Yorkshire & The Humber,South Yorkshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,199,524,723
2009,England,Yorkshire & The Humber,South Yorkshire,16,Speed limit offences,Speed limit offences,10526,,10526
2009,England,Yorkshire & The Humber,South Yorkshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,60,15,75
2009,England,Yorkshire & The Humber,South Yorkshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3003,1614,4617
2009,England,Yorkshire & The Humber,South Yorkshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,277,67,344
2009,England,Yorkshire & The Humber,South Yorkshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,1363,1363
2009,England,Yorkshire & The Humber,South Yorkshire,21,Lighting offences,Lighting and noise offences,,874,874
2009,England,Yorkshire & The Humber,South Yorkshire,22,Noise offences,Lighting and noise offences,,20,20
2009,England,Yorkshire & The Humber,South Yorkshire,23,Load offences,Other offences,93,59,152
2009,England,Yorkshire & The Humber,South Yorkshire,24,Offences peculiar to motor cycles,Other offences,0,52,52
2009,England,Yorkshire & The Humber,South Yorkshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,147,147
2009,England,Yorkshire & The Humber,South Yorkshire,25b,Seat belt offences,Miscellaneous motoring offences,,7465,7465
2009,England,West Midlands,Staffordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,57,8,65
2009,England,West Midlands,Staffordshire,4b,Use of hand-held mobile phone while driving,Careless driving,795,,795
2009,England,West Midlands,Staffordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",91,0,91
2009,England,West Midlands,Staffordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",549,,549
2009,England,West Midlands,Staffordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,915,915
2009,England,West Midlands,Staffordshire,13,Vehicle test offences,Vehicle test and condition offences,,689,689
2009,England,West Midlands,Staffordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,111,116,227
2009,England,West Midlands,Staffordshire,16,Speed limit offences,Speed limit offences,42055,,42055
2009,England,West Midlands,Staffordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,36,6,42
2009,England,West Midlands,Staffordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,682,428,1110
2009,England,West Midlands,Staffordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,54,12,66
2009,England,West Midlands,Staffordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,1409,1409
2009,England,West Midlands,Staffordshire,21,Lighting offences,Lighting and noise offences,,237,237
2009,England,West Midlands,Staffordshire,22,Noise offences,Lighting and noise offences,,11,11
2009,England,West Midlands,Staffordshire,23,Load offences,Other offences,0,49,49
2009,England,West Midlands,Staffordshire,24,Offences peculiar to motor cycles,Other offences,0,18,18
2009,England,West Midlands,Staffordshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,4,4
2009,England,West Midlands,Staffordshire,25b,Seat belt offences,Miscellaneous motoring offences,,2694,2694
2009,England,East of England,Suffolk,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,51,11,62
2009,England,East of England,Suffolk,4b,Use of hand-held mobile phone while driving,Careless driving,1747,,1747
2009,England,East of England,Suffolk,7,Driving licence related offences,"Licence, insurance and record keeping offences",159,0,159
2009,England,East of England,Suffolk,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",783,,783
2009,England,East of England,Suffolk,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,968,968
2009,England,East of England,Suffolk,13,Vehicle test offences,Vehicle test and condition offences,,1290,1290
2009,England,East of England,Suffolk,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,281,477,758
2009,England,East of England,Suffolk,16,Speed limit offences,Speed limit offences,35027,,35027
2009,England,East of England,Suffolk,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2009,England,East of England,Suffolk,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,435,1111,1546
2009,England,East of England,Suffolk,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,69,15,84
2009,England,East of England,Suffolk,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,6161,6165
2009,England,East of England,Suffolk,21,Lighting offences,Lighting and noise offences,,307,307
2009,England,East of England,Suffolk,22,Noise offences,Lighting and noise offences,,224,224
2009,England,East of England,Suffolk,23,Load offences,Other offences,16,46,62
2009,England,East of England,Suffolk,24,Offences peculiar to motor cycles,Other offences,1,23,24
2009,England,East of England,Suffolk,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,158,158
2009,England,East of England,Suffolk,25b,Seat belt offences,Miscellaneous motoring offences,,3141,3141
2009,England,South East,Surrey,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,46,25,71
2009,England,South East,Surrey,4b,Use of hand-held mobile phone while driving,Careless driving,2605,,2605
2009,England,South East,Surrey,7,Driving licence related offences,"Licence, insurance and record keeping offences",181,0,181
2009,England,South East,Surrey,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",436,,436
2009,England,South East,Surrey,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1640,1640
2009,England,South East,Surrey,13,Vehicle test offences,Vehicle test and condition offences,,1745,1745
2009,England,South East,Surrey,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,226,152,378
2009,England,South East,Surrey,16,Speed limit offences,Speed limit offences,26401,,26401
2009,England,South East,Surrey,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,72,43,115
2009,England,South East,Surrey,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3947,500,4447
2009,England,South East,Surrey,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,76,40,116
2009,England,South East,Surrey,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,1376,1377
2009,England,South East,Surrey,21,Lighting offences,Lighting and noise offences,,249,249
2009,England,South East,Surrey,22,Noise offences,Lighting and noise offences,,16,16
2009,England,South East,Surrey,23,Load offences,Other offences,0,15,15
2009,England,South East,Surrey,24,Offences peculiar to motor cycles,Other offences,2,17,19
2009,England,South East,Surrey,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,3,3
2009,England,South East,Surrey,25b,Seat belt offences,Miscellaneous motoring offences,,2213,2213
2009,England,South East,Sussex,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,23,4,27
2009,England,South East,Sussex,4b,Use of hand-held mobile phone while driving,Careless driving,3623,,3623
2009,England,South East,Sussex,7,Driving licence related offences,"Licence, insurance and record keeping offences",334,0,334
2009,England,South East,Sussex,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",1065,,1065
2009,England,South East,Sussex,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1366,1366
2009,England,South East,Sussex,13,Vehicle test offences,Vehicle test and condition offences,,2793,2793
2009,England,South East,Sussex,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,254,24,278
2009,England,South East,Sussex,16,Speed limit offences,Speed limit offences,29710,,29710
2009,England,South East,Sussex,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,2,7,9
2009,England,South East,Sussex,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3627,414,4041
2009,England,South East,Sussex,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,200,11,211
2009,England,South East,Sussex,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,20124,20128
2009,England,South East,Sussex,21,Lighting offences,Lighting and noise offences,,291,291
2009,England,South East,Sussex,22,Noise offences,Lighting and noise offences,,22,22
2009,England,South East,Sussex,23,Load offences,Other offences,0,0,0
2009,England,South East,Sussex,24,Offences peculiar to motor cycles,Other offences,2,27,29
2009,England,South East,Sussex,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,5,5
2009,England,South East,Sussex,25b,Seat belt offences,Miscellaneous motoring offences,,5288,5288
2009,England,South East,Thames Valley,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,98,16,114
2009,England,South East,Thames Valley,4b,Use of hand-held mobile phone while driving,Careless driving,5629,,5629
2009,England,South East,Thames Valley,7,Driving licence related offences,"Licence, insurance and record keeping offences",354,0,354
2009,England,South East,Thames Valley,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",730,,730
2009,England,South East,Thames Valley,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1015,1015
2009,England,South East,Thames Valley,13,Vehicle test offences,Vehicle test and condition offences,,518,518
2009,England,South East,Thames Valley,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,231,199,430
2009,England,South East,Thames Valley,16,Speed limit offences,Speed limit offences,57781,,57781
2009,England,South East,Thames Valley,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,28,5,33
2009,England,South East,Thames Valley,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1426,345,1771
2009,England,South East,Thames Valley,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,145,24,169
2009,England,South East,Thames Valley,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,10491,10493
2009,England,South East,Thames Valley,21,Lighting offences,Lighting and noise offences,,469,469
2009,England,South East,Thames Valley,22,Noise offences,Lighting and noise offences,,32,32
2009,England,South East,Thames Valley,23,Load offences,Other offences,49,0,49
2009,England,South East,Thames Valley,24,Offences peculiar to motor cycles,Other offences,2,25,27
2009,England,South East,Thames Valley,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2009,England,South East,Thames Valley,25b,Seat belt offences,Miscellaneous motoring offences,,12408,12408
2009,England,West Midlands,Warwickshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,56,7,63
2009,England,West Midlands,Warwickshire,4b,Use of hand-held mobile phone while driving,Careless driving,1875,,1875
2009,England,West Midlands,Warwickshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",69,0,69
2009,England,West Midlands,Warwickshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",290,,290
2009,England,West Midlands,Warwickshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,401,401
2009,England,West Midlands,Warwickshire,13,Vehicle test offences,Vehicle test and condition offences,,429,429
2009,England,West Midlands,Warwickshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,74,167,241
2009,England,West Midlands,Warwickshire,16,Speed limit offences,Speed limit offences,32213,,32213
2009,England,West Midlands,Warwickshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,46,13,59
2009,England,West Midlands,Warwickshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1758,206,1964
2009,England,West Midlands,Warwickshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,16,3,19
2009,England,West Midlands,Warwickshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",3,2193,2196
2009,England,West Midlands,Warwickshire,21,Lighting offences,Lighting and noise offences,,213,213
2009,England,West Midlands,Warwickshire,22,Noise offences,Lighting and noise offences,,12,12
2009,England,West Midlands,Warwickshire,23,Load offences,Other offences,0,17,17
2009,England,West Midlands,Warwickshire,24,Offences peculiar to motor cycles,Other offences,0,15,15
2009,England,West Midlands,Warwickshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,5,5
2009,England,West Midlands,Warwickshire,25b,Seat belt offences,Miscellaneous motoring offences,,1421,1421
2009,England,West Midlands,West Mercia,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,78,4,82
2009,England,West Midlands,West Mercia,4b,Use of hand-held mobile phone while driving,Careless driving,3408,,3408
2009,England,West Midlands,West Mercia,7,Driving licence related offences,"Licence, insurance and record keeping offences",121,0,121
2009,England,West Midlands,West Mercia,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",440,,440
2009,England,West Midlands,West Mercia,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1017,1017
2009,England,West Midlands,West Mercia,13,Vehicle test offences,Vehicle test and condition offences,,851,851
2009,England,West Midlands,West Mercia,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,256,51,307
2009,England,West Midlands,West Mercia,16,Speed limit offences,Speed limit offences,39871,,39871
2009,England,West Midlands,West Mercia,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,64,11,75
2009,England,West Midlands,West Mercia,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1444,298,1742
2009,England,West Midlands,West Mercia,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,225,11,236
2009,England,West Midlands,West Mercia,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,1544,1544
2009,England,West Midlands,West Mercia,21,Lighting offences,Lighting and noise offences,,215,215
2009,England,West Midlands,West Mercia,22,Noise offences,Lighting and noise offences,,134,134
2009,England,West Midlands,West Mercia,23,Load offences,Other offences,0,3,3
2009,England,West Midlands,West Mercia,24,Offences peculiar to motor cycles,Other offences,0,18,18
2009,England,West Midlands,West Mercia,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,202,202
2009,England,West Midlands,West Mercia,25b,Seat belt offences,Miscellaneous motoring offences,,3693,3693
2009,England,West Midlands,West Midlands,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,40,39,79
2009,England,West Midlands,West Midlands,4b,Use of hand-held mobile phone while driving,Careless driving,6112,,6112
2009,England,West Midlands,West Midlands,7,Driving licence related offences,"Licence, insurance and record keeping offences",229,0,229
2009,England,West Midlands,West Midlands,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",210,,210
2009,England,West Midlands,West Midlands,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1270,1270
2009,England,West Midlands,West Midlands,13,Vehicle test offences,Vehicle test and condition offences,,8,8
2009,England,West Midlands,West Midlands,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,473,438,911
2009,England,West Midlands,West Midlands,16,Speed limit offences,Speed limit offences,40789,,40789
2009,England,West Midlands,West Midlands,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,73,5,78
2009,England,West Midlands,West Midlands,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,8757,3196,11953
2009,England,West Midlands,West Midlands,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,475,89,564
2009,England,West Midlands,West Midlands,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",9,12711,12720
2009,England,West Midlands,West Midlands,21,Lighting offences,Lighting and noise offences,,378,378
2009,England,West Midlands,West Midlands,22,Noise offences,Lighting and noise offences,,35,35
2009,England,West Midlands,West Midlands,23,Load offences,Other offences,0,56,56
2009,England,West Midlands,West Midlands,24,Offences peculiar to motor cycles,Other offences,0,94,94
2009,England,West Midlands,West Midlands,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,14,191,205
2009,England,West Midlands,West Midlands,25b,Seat belt offences,Miscellaneous motoring offences,,8056,8056
2009,England,Yorkshire & The Humber,West Yorkshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,112,39,151
2009,England,Yorkshire & The Humber,West Yorkshire,4b,Use of hand-held mobile phone while driving,Careless driving,4708,,4708
2009,England,Yorkshire & The Humber,West Yorkshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",459,0,459
